playcount,name,tags,similar_artists
26,Camille,"french, female vocalists, chanson francaise, singer-songwriter, indie","Emily Loizeau, Pauline Croze, Jeanne Cherhal, Arthur H, Olivia Ruiz, Mathieu Boogaerts, Brigitte, Alain Bashung, Jeanne Added, Dominique A"
26,Nancy,"experimental, seen live, punk, pop punk, indie","Hovery Covery, 2 Quick Start, Best B4, Mr. Happyman, Kuldne Trio, For Science, Dead Mechanical, The Steinways, Charlie Brown Gets A Valentine, The Unlovables"
25,Digitalism,"electronic, electro, dance, seen live, german","Busy P, Boys Noize, Justice, MSTRKRFT, Sebastian, Yuksek, Vitalic, Teenage Bad Girl, Simian Mobile Disco, The Bloody Beetroots"
25,Sonic Youth,"alternative, experimental, post-punk, indie, seen live","Ciccone Youth, Thurston Moore, Dinosaur Jr., Lee Ranaldo, Pixies, Pavement, Unwound, The Breeders, Big Black, Swans"
25,The Free Design,"sunshine pop, pop, 60s, baroque pop, easy listening","Harpers Bizarre, The Millennium, The Left Banke, Sagittarius, Spanky & Our Gang, The Cyrkle, Margo Guryan, The Association, 1910 Fruitgum Company, The Beau Brummels"
24,Muse,"alternative rock, rock, alternative, Progressive rock, seen live","Franz Ferdinand, Kasabian, Nothing But Thieves, Radiohead, Placebo, Royal Blood, Coldplay, The Killers, 30 Seconds to Mars, Biffy Clyro"
24,Stars,"indie, indie pop, Canadian, seen live, indie rock","Broken Social Scene, Emily Haines & The Soft Skeleton, Amy Millan, The New Pornographers, Rilo Kiley, Metric, Mates of State, Ra Ra Riot, Tokyo Police Club, Shout Out Louds"
24,The Go! Team,"indie, seen live, electronic, indie rock, indie pop","Architecture in Helsinki, Los Campesinos!, The Polyphonic Spree, Clap Your Hands Say Yeah, Badly Drawn Boy, The New Pornographers, The Beta Band, The Fiery Furnaces, Cansei de Ser Sexy, Stars"
23,Boards of Canada,"ambient, electronic, idm, electronica, chillout","Aphex Twin, Autechre, AFX, Squarepusher, Christ., Casino Versus Japan, Plaid, Polygon Window, Biosphere, µ-Ziq"
23,Gal Costa,"Bossa Nova, brazilian, mpb, tropicalia, female vocalists","Maria Bethânia, Caetano Veloso, Gilberto Gil, Elis Regina, Adriana Calcanhotto, Ney Matogrosso, Nana Caymmi, Marisa Monte, Elza Soares, Chico Buarque"
23,Joan as Police Woman,"singer-songwriter, female vocalists, seen live, indie, alternative","Anna Calvi, My Brightest Diamond, Laura Veirs, Martha Wainwright, Heather Nova, Feist, Alela Diane, Cat Power, Jesca Hoop, Nadine Shah"
23,Television,"post-punk, new wave, punk, proto-punk, rock","Tom Verlaine, Wire, Gang of Four, Talking Heads, The Modern Lovers, Richard Hell and the Voidoids, The Velvet Underground, The Stooges, Magazine, Mission of Burma"
22,A Sunny Day In Glasgow,"shoegaze, dream pop, indie, electronic, female vocalists","Asobi Seksu, Pinkshinyultrablast, No Joy, The Pains of Being Pure at Heart, Swirlies, Ringo Deathstarr, School of Seven Bells, Atlas Sound, The Depreciation Guild, Chapterhouse"
22,Chico Buarque,"mpb, Bossa Nova, brazilian, samba, brasil","Caetano Veloso, Elis Regina, Gilberto Gil, Maria Bethânia, Paulinho Da Viola, Cartola, Belchior, Gal Costa, Milton Nascimento, Gonzaguinha"
22,Emily Haines & The Soft Skeleton,"female vocalists, indie, Canadian, singer-songwriter, piano","Metric, Stars, Hannah Georgas, Land of Talk, Amy Millan, Feist, Broken Social Scene, Laura Veirs, Rilo Kiley, Jenny Owen Youngs"
22,MF Doom [The Very Best of MF Doom CD1],"Hip-Hop, underground hip-hop, rap, hip hop, mf doom","Viktor Vaughn, Madvillain, King Geedorah, DANGERDOOM, JJ DOOM, KMD, Quasimoto, NehruvianDOOM, Earl Sweatshirt, Czarface"
21,Mercury Rev,"indie, dream pop, indie rock, seen live, alternative","Spiritualized, Galaxie 500, The Flaming Lips, Grandaddy, Yo La Tengo, Super Furry Animals, Teenage Fanclub, The Beta Band, Sparklehorse, Stephen Malkmus"
21,The Velvet Underground,"rock, classic rock, psychedelic, proto-punk, alternative","Lou Reed, The Stooges, Nico, Television, Love, Can, The Kinks, The Modern Lovers, John Cale, David Bowie"
20,Club Silêncio,"noise, electronica, indie, rock, Brasilia","Watson, The Pro, Bois de Gerião, Fábio Pop, Sexy Fi, Mentes Póstumas, nononono, Hello Crazy People, Prot(o), Tiro Williams"
20,LCD Soundsystem,"electronic, indie, seen live, dance, electronica","The Juan Maclean, Hot Chip, !!!, Holy Ghost!, The Rapture, Soulwax, Cut Copy, Caribou, Vampire Weekend, Fujiya & Miyagi"
19,Badi Assad,"female vocalists, brasil, jazz, brazilian, latin","Ceumar, Guinga, Ná Ozzetti, Marina De La Riva, Rita Ribeiro, Raphael Rabello, Katia B, Jussara Silveira, Renato Braz, DonaZica"
19,Chico Buarque - Ennio Morricone,"Bossa Nova, alternative, world, mpb, male vocalists","Chico Buarque/Maria Bethania, Chico E Caetano, Muchachos, Os, Chico Buarque; Mestre Marçal, Ney Latorraca, Marieta Severo/Elba Ramalho, Milton Nascimento/Chico Buarque, Nelson Sargento; Alcione, Chico Buarque e Edu Lobo - Instrumental, João Nogueira; Cristina Buarque"
19,Junior Senior,"dance, electronic, pop, danish, electronica","Datarock, Modjo, The Supermen Lovers, Scissor Sisters, Alphabeat, Basement Jaxx, Chromeo, Michael Gray, Calvin Harris, The Go! Team"
19,Les Maledictus Sound,"french, experimental, psychedelic, Progressive rock, Progressive","Herman's Rocket, LES CHATS RENAISSANCE, Jacky Chalard, Jacques Thollot, Cecil Leuter, People, C.A. Quintet, International Harvester, Älgarnas Trädgård, Emmanuelle Parrenin"
19,M83,"electronic, shoegaze, post-rock, indie, electronica","The Naked and Famous, Chromatics, Röyksopp, Passion Pit, Phoenix, Cut Copy, Hot Chip, Deerhunter, Washed Out, The Radio Dept."
18,Akron/Family,"folk, experimental, freak folk, seen live, indie","The Angels of Light, Animal Collective, The Books, Six Organs of Admittance, Avey Tare, Panda Bear, Vetiver, Here We Go Magic, Devendra Banhart, Dirty Projectors"
18,Antony and the Johnsons,"singer-songwriter, indie, alternative, chamber pop, folk","Anohni, CocoRosie, Perfume Genius, Rufus Wainwright, Patrick Wolf, Cat Power, Soap&Skin, The Irrepressibles, Tindersticks, Owen Pallett"
18,De La Soul,"Hip-Hop, rap, hip hop, seen live, alternative rap","Jungle Brothers, A Tribe Called Quest, The Pharcyde, Pete Rock & C.L. Smooth, EPMD, Main Source, Public Enemy, Boogie Down Productions, Common, Gang Starr"
18,Gilberto Gil,"brazilian, mpb, Bossa Nova, tropicalia, brasil","Caetano Veloso, Gal Costa, Luiz Melodia, Tom Zé, Novos Baianos, Chico Buarque, Maria Bethânia, Milton Nascimento, Jorge Ben, Paulinho Da Viola"
18,Jeff Buckley,"singer-songwriter, rock, alternative, indie, folk","Tim Buckley, Nick Drake, Elliott Smith, John Frusciante, PJ Harvey, Fiona Apple, Radiohead, Nick Cave & The Bad Seeds, Chris Cornell, Rufus Wainwright"
18,Lucio Battisti,"italian, singer-songwriter, pop, cantautori, italiana","Lucio Dalla, Franco Battiato, Francesco De Gregori, Rino Gaetano, Fabrizio De André, Vasco Rossi, Edoardo Bennato, Pino Daniele, Antonello Venditti, Francesco Guccini"
18,Nouvelle Vague,"Bossa Nova, french, female vocalists, chillout, indie","Mélanie Pain, Koop, Keren Ann, Pink Martini, Charlotte Gainsbourg, Brazzaville, Flunk, Bebel Gilberto, Waldeck, Air"
17,George Harrison,"classic rock, rock, singer-songwriter, british, pop","Paul McCartney, John Lennon, The Beatles, Ringo Starr, Wings, Paul McCartney & Wings, Paul & Linda McCartney, John Lennon & Yoko Ono, Traveling Wilburys, The Kinks"
17,Janelle Monáe,"soul, rnb, female vocalists, seen live, alternative","Solange, St. Vincent, Kelela, SZA, Kali Uchis, Kimbra, Beyoncé, Estelle, Erykah Badu, Tinashe"
17,Miles Davis,"jazz, trumpet, Fusion, bebop, blues","John Coltrane, Miles Davis Quintet, Herbie Hancock, Thelonious Monk, Sonny Rollins, Charles Mingus, Wayne Shorter, Cannonball Adderley, Charlie Parker, Lee Morgan"
17,Paul McCartney & Wings,"classic rock, rock, 70s, british, pop","Paul McCartney, Wings, Paul & Linda McCartney, Ringo Starr, George Harrison, John Lennon, The Beatles, John Lennon & Yoko Ono, The Rolling Stones, 10cc"
17,Pixies,"alternative, indie, rock, alternative rock, indie rock","Frank Black, The Breeders, Sonic Youth, Pavement, Weezer, Dinosaur Jr., The Smashing Pumpkins, Hüsker Dü, Frank Black and the Catholics, Black Francis"
17,PJ Harvey,"female vocalists, alternative, rock, singer-songwriter, indie","John Parish and Polly Jean Harvey, Fiona Apple, Kate Bush, Nick Cave & The Bad Seeds, Tori Amos, Patti Smith, Cat Power, Liz Phair, Anna Calvi, Björk"
